,Pentax K1000,Wide Angle Zoom Lens,Medium Shot,Cinematic Documentary Photography,Thermographic Photography,Strobe,Dynamic Lighting,Flashing White Light,Natural Lighting,Fill Light,Beaulieu R16,Ilford FP4 Plus,Vintage,Animation,10. Sven Nykvist,10. Mark Gethin,Coen Brothers,Middle-aged Basque woman,Chinese Bamboo Flower,Mandarinfish,Fairy Inkcap,Lakes,"Quebec City, Canada",Crystal Palace,"Fly Geyser, Nevada",Grimy Underpass,Serene,Repugnant,Gutai Group,Mixed Media Art,Scandinavian,Animation,Botanical,Risograph Printing,Post-Impressionism,Zentangle,Patterned,Decorated with a repeating design.,Korean Hahoe Masks,Surrealist Painting Costume,Splattered with colorful paint,Overwhelmed by suffocating smog,Copper,Flannel,Copper,Silk,Smart Glass,Bumpy,Corduroy,Hairy,Thermochromic
,Nikon Df,Standard Zoom Lens,Long Shot,Food Styling Photography,Aerial Survey Photography,Blacklight,UV Lighting,Ultraviolet Purple,Soft Lighting,Low Key Lighting,ARRI Alexa,Kodak Gold 200,Soft Focus,Horror,11. Rodrigo Prieto,11. Dave Hussey,Guillermo del Toro,Young Inuit boy,Ghost Plant,Blue-footed Booby,Devils Fingers Fungus,Woodlands,"Valparaiso, Chile",Enchanted Forest,"Lake Natron, Tanzania",Depressing Motorway Service Station,Graceful,Frightening,Arte Povera,Assemblage,Gothic,Stop Motion,Graffiti,Digital Print,Neo-expressionism,Doodling,Sequined,"Covered in small, shiny decorative pieces.",Hockey Goalie Masks,Time Traveler Attire,Overgrown with lush green moss,Shrouded in haunting mist,Iron,Leather,Marble,Wool,Memory Metal,Grainy,Denim,Feathery,Self-healing
,Canon EOS-1D X Mark III,Telephoto Zoom Lens,Extreme Long Shot,Stellar Astrophotography,Satellite Imaging Photography,Moonlight,Mysterious Lighting,Cool Blue Moon Glow,Hard Lighting,High Key Lighting,RED Weapon,Fujifilm Pro 400H,Wide Aperture,Musical,12. Hoyte van Hoytema,12. Walter Volpatto,Woody Allen,Elderly San woman,Silver Sword,Fennec Fox,Morel Mushrooms,Canyons,"Wroclaw, Poland",Vampires Castle,"Eternal Flame Falls, New York",Overcast Local Playground,Charming,Grotesque,Kinetic Art,Mechanical Sculpture,Organic Design,Western,Fashion,Drypoint,Renaissance,Shading,Lace-adorned,"Decorated with lace, a delicate decorative fabric woven in an open web of symmetrical patterns.",Superhero Masks,Interactive LED Suit,Clad in rich velvet,Haunted by malicious spirits,Diamond,Hemp,Granite,Coral,Non-Newtonian Fluid,Pebbled,Mesh,Spongy,Reflective
,Leica Q2,Superzoom Lens,Close-Up Shot,Surreal Still Life Photography,Underwater Photography,Laser,Intense Beam Lighting,Green Laser Light,Top Lighting,Strobe Lighting,Sony CineAlta Venice,Ilford XP2 Super,Split Diopter,Crime,13. Michael Ballhaus,13. Eric Whipp,Denis Villeneuve,Middle-aged Nigerian man,Resurrection Plant,Shoebill Stork,Lichen,Deserts,"Riga, Latvia",Desert Oasis,"Tsingy de Bemaraha, Madagascar",Bland Corporate Meeting Room,Mesmerizing,Morbid,Cloisonnism,Pastel Drawing,Industrial,Epic,Science Fiction,Mezzotint,Expressionism,Charcoal Drawing,Feathered,Covered with or adorned by feathers.,Chinese Opera Masks,Living Waterfall Dress,Glistening with dew,Mired in foul and stagnant water,Quartz,Rayon,Tiles,Scales,Ferrofluid,Grooved,Knitted,Fibrous,Phosphorescent
,Hasselblad X1D II 50C,Wide Aperture Lens,Extreme Close-Up Shot,Dreamy Wedding Photography,Medical Imaging Photography,Natural Sunlight,Soft Daylight Lighting,Pure White Sunbeam,Bottom Lighting,Continuous Lighting,Panavision DXL2,Kodak Portra 800,Macro Zoom,Western,14. Darius Khondji,14. Andrea Chlebak,Spike Lee,Young American woman,Flame Lily,Pygmy Seahorse,Stinkhorn Mushroom,National Parks,"Oia, Greece",Sky Castle,"Red Beach, Panjin, China",Rainy Outdoor Bus Queue,Alluring,Terrifying,Afrofuturism,Digital Art,Postmodern,Rom-Com,Pop Art,Collagraphy,Byzantine,Life Drawing,Elaborate,Detailed and complicated in design and planning.,Scuba Diving Masks,Geometric Shapes Costume,Feathered with fluffy feathers,Consumed by eerie silence,Coal,Chiffon,Drywall,Plant Fibers,Self-cleaning Material,Polished,Woven,Glossy,Glow-in-the-dark
,Fujifilm GFX 100,Image Stabilization Lens,Two-Shot,Noir Film Photography,Scientific Macro Photography,Bioluminescent,Magical Lighting,Soft Green Glow,Practical Lighting,Off-Camera Flash,Blackmagic URSA Mini Pro,Fujifilm Neopan Acros 100,Ultra Wide,Documentary,15. Wally Pfister,15. Mitch Paulson,Tim Burton,Elderly Quechua man,Baobab Tree,Mata Mata Turtle,Chanterelle,Waterfalls,"Prague, Czech Republic",Gnome Village,"Socotra, Yemen",Uninspiring School Staff Room,Breathtaking,Dreadful,Tonalism,Charcoal Drawing,Futurism,Silent Film,Editorial,Gravure,Impasto,Realism,Ruffled,Gathered into a frill or frills.,Ski Masks,Underwater Explorer Costume,Inked with intricate tattoos,Covered in writhing snakes,Glass,Jute,Insulation,Bile,Electronic Skin,Sandy,Quilted,Fleshy,Invisible
,Sony A9 II,Pancake Lens,Three-Shot,Epic Landscape Photography,Electron Microscopy Photography,Fiber Optic,Starry Sky Lighting,Twinkling Colorful Lights,Film Noir Lighting,Ring Light,Canon Cinema EOS C500 Mark II,Ilford Pan F Plus,Variable Prime,Experimental,16. John Seale,16. Natasha Leonnet,Ang Lee,Middle-aged Hmong woman,Elephant Foot Yam,Narwhal,Lions Mane Mushroom,Beaches,"Tallinn, Estonia",Mermaids Cove,"Antelope Canyon, Arizona",Silent Library Study Area,Harmonious,Unsettling,Mail Art,Collage,Art Nouveau,Avant-Garde,Portraiture,Stencil,Trompe Loeil,Foreshortening,Embroidered,"Decorated with ornamental needlework, often including patterns or scenes.",Surgical Masks,Dystopian Post-Apocalyptic Attire,Strewn with crisp autumn leaves,Enveloped in choking smoke,Obsidian,Muslin,PVC,Excrement,3D-Printed Material,Coarse,Fleece,Leathery,Vantablack
,Nikon Z7 II,Mirror Lens,Single Shot,Aerial Adventure Photography,Confocal Microscopy Photography,Firefly,Enchanting Lighting,Glowing Yellow-Green,Day for Night Lighting,Remotely Triggered Lighting,Panasonic VariCam LT,Kodak Ultramax 400,Standard,War,17. Seamus McGarvey,17. Shane Harris,Pedro Almodóvar,Young Maasai boy,Kauri Tree,Pangolin,Artists Conk,Caves,"Zanzibar City, Tanzania",Ghost Town,"Naica Mine, Mexico",Rubbish-filled Alleyway,Splendid,Abhorrent,De Stijl,Ink Drawing,High Tech,Film Blanc,Pattern Design,Cliché Verre,Tenebrism,Automatic Drawing,Metallic,"Resembling or made to resemble metal, especially in color.",Phantom of the Opera Mask,Inflatable Dinosaur Costume,"Wrapped in soft, white fur",Riddled with disease-ridden pests,Amber,Nylon,Asphalt,Eggs,Spider silk from goats,Spongy,Satin,Elastic,Transparent
,Canon EOS R5,Petzval Lens,Master Shot,Underwater Exploration Photography,Intraoral Photography,Candlelight Chandelier,Elegant Lighting,Warm Amber Glow,Stylized Lighting,Light Painting,Sony F65,Fujifilm C200,Anamorphic Zoom,Mystery,18. Bruno Delbonnel,18. Billy Hobson,Akira Kurosawa,Elderly Navajo woman,Lithops,Cassowary,Psychedelic Psilocybin Mushrooms,Rivers,"Matera, Italy",Witches Brew Swamp,"Rainbow Mountains, China",Bleak Housing Estate Courtyard,Majestic,Eerie,Ashcan School,Etching Print,De Stijl,Heist,Abstract,Photogravure,Neo-classicism,Sketching,Satin,"Made of satin, a smooth, glossy fabric typically of silk.",Venetian Bauta Masks,Optical Illusion Outfit,Sprinkled with sparkling glitter,Saturated with repulsive odors,Salt,Spandex,Rubber,Chitin,Hair-derived keratin Bioplastic,Glossy,Lace,Pulpy,Hydrogel
,Panasonic Lumix S1R,Soft Focus Lens,Establishing Shot,Neon Night Photography,Endoscopy Photography,Projection Mapping,Visual Projection Lighting,Dynamic Colorful Patterns,High Contrast Lighting,"Light Modifiers (e.g., Softboxes, Umbrellas)",RED Epic-W,Ilford SFX 200,Bokeh,Independent,19. Harris Savides,19. Sophie Borup,Paul Thomas Anderson,Middle-aged Toda man,Rainbow Eucalyptus,Axolotl,Shaggy Ink Cap,Valleys,"Ghent, Belgium",Frozen Tundra,"Aokigahara Forest, Japan",Dull Supermarket Aisle,Tranquil,Chilling,Hyperrealism,Ballpoint Pen Drawing,Post-Industrial,Noir,Concept Art,Engraving,Pre-Raphaelite,Pastel Drawing,Leather-clad,Covered entirely in leather.,Plague Doctor Masks,Neon Cyberpunk Costume,Veiled in swirling mist,Entangled in suffocating webs,Pearl,Tweed,Zinc,Spider Silk,Gallium (melts in hand),Matte,Velvet,Muscular,Bubble Wrap
,Leica SL2,Pinhole Lens,Reverse Shot,Time-Lapse Photography,Radiographic Photography,Gas Discharge,Street Lighting,Bright Sodium Yellow,Cinematic Lighting,Creative Lighting Effects,Blackmagic Pocket Cinema Camera 6K,Kodak Vision3 500T,Vintage Prime,Foreign,20. Dick Pope,20. Tom Balkwill,Bong Joon-ho,Young British woman,Titan Arum,Okapi,Bioluminescent Panellus Stipticus,Islands,"Bergen, Norway",Secret Garden,"The Wave, Arizona",Neglected Community Centre,Enthralling,Disgusting,Pop Art,Screen Print,Japonism,Surrealism,Landscape,Letterpress,Pointillism,Ink Drawing,Tiered,Having or arranged in tiers (layers or levels placed one above the other).,Wrestling Masks (Lucha Libre),Solar System Dress,Drizzled with delicious chocolate sauce,Withered by relentless decay,Gemstones,Taffeta,Carbon Fiber,Venom,Self-Assembling Nanomaterial,Irregular,Tweed,Crusty,Ferrofluid
